Comment,Designator,Footprint,LCSC
"1uF","C1,C17,C19","0402","C52923"
"100nF","C18,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C120,C121,C130,C131,C140,C141,C142,C143","0402","C1525"
"4.7nF","C2,C3","0402","C1538"
"4.7uF","C21,C25,C27,C30,C32,C45,C46,C47,C48,C64,C65,C66","0402","C23733"
"47uF","C28,C29,C31,C33,C34,C35,C36,C37,C38,C39,C40,C41,C63","0805","C16780"
"22uF","C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C20,C22,C23,C24,C26","1206","C12891"
"100uF","C42,C43,C44","1206","C15008"
"GLED","D1,D2,D3,D6","0603","C72043"
"RLED","D7,D8,D9,D10,D11,D12,D13,D14","0603","C2286"
"600R@100MHz","FB1,FB2","0603","C1002"
"BSS138","Q1,Q2,Q3","SOT-23","C2938375"
"100R","R1","0402","C25076"
"2K","R11,R18,R19","0402","C4109"
"3K","R12,R14,R16,R24","0402","C168223"
"15K","R13,R15,R17,R23","0402","C25756"
"4K7","R2,R3,R4,R5,R6,R7,R8,R9,R10,R20,R21,R22,R25,R26,R27,R28,R29,R30,R31,R32,R33","0402","C25900"
"XC7K160T-FFG676","U1","FFG676","C966964"
"MT47H64M8SH","U2","FBGA-60","C1353826"
"W25Q128JVS","U3","SOIC-8","C97521"
"OB3225125MLDB6SI-00","U4,U5","SMD3225-6P","C5173622"
"TPD4E02B04DQAR","U6,U7","USON-10","C106794"
"MPM54304GMN-0000","U8","LGA7x7x2_MNP","C9900053606"
"MPM3683GQN-7-P","U9","MPM3683GQN-7","C5252330"
